Hostname,Last Seen,First Seen,Platform,OS Version,OS Build,OS Product Name,Kernel Version,Model,Manufacturer,Type,Chassis,OU,Site,Prevention Policy,Response Policy,Sensor Update Policy,USB Device Policy,Host ID,Local IP,Connection IP,Default Gateway IP,External IP,Domain,MAC Address,Connection MAC Address,Status,CPUID,Serial Number,Sensor Version,Sensor Tags,Cloud Service Provider,Cloud Service Account ID,Cloud Service Instance ID,Cloud Service Zone/Group,RFM,Deployment Type,Email,Pod ID,Pod Name,Pod Namespace,Pod Labels,Pod Annotations,Pod IP4,Pod IP6,Pod Hostname,Pod Host IP4,Pod Host IP6,Pod Service Account Name,Host Groups
3561-9N97LG3,2023-05-02T17:26:00Z,2022-06-15T16:25:35Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Precision 3561,Dell Inc.,Workstation,Laptop,"Test-PVM, Workstations",RL,"Alpha Group Prevention Policy
10 Apr 23 16:06 UTC","Full Response - Base
15 Jun 22 16:32 UTC","Test Sensor Update Policy
29 Mar 23 14:39 UTC","Monitor - TCB - Base
15 Mar 23 05:25 UTC",76affaf9d505413eb0ac7e5b5ab19c35,172.24.208.1,10.177.130.211,10.1.1.1,76.213.144.133,tcbna.net,00-15-5d-6b-12-9a,00-05-9a-3c-7a-00,normal,526033,9N97LG3,6.53.16705.0,,,,,,no,,,,,,,,,,,,,,"Alpha Group,Beta Group,Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-GZLWBK3,2023-05-02T17:21:30Z,2022-01-28T18:13:49Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
01 May 23 13:01 UTC","Full Response - Base
28 Jan 22 18:14 UTC","Windows Workstations N-1
29 Mar 23 13:26 UTC","Monitor - TCB - Base
28 Jan 22 18:18 UTC",463a34454a1e478d8e932dbd0ba6453e,10.132.162.32,10.132.162.32,10.132.162.1,63.98.103.65,tcbna.net,a0-29-19-c2-d1-f9,a0-29-19-c2-d1-f9,normal,526017,GZLWBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-FJFVBK3,2023-05-02T17:05:00Z,2023-03-18T04:58:40Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:34 UTC","Full Response - Base
18 Mar 23 05:08 UTC","Windows Workstations N-1
30 Mar 23 19:04 UTC","Monitor - TCB - Base
18 Mar 23 05:08 UTC",6d996d978c1f43738a8076db03bcf239,10.128.75.24,10.128.75.24,10.128.75.1,63.98.103.66,tcbna.net,a0-29-19-c4-32-6d,a0-29-19-c4-32-6d,normal,526017,FJFVBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-CZ5R3M3,2023-05-02T17:35:54Z,2022-09-10T01:42:49Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:31 UTC","Full Response - Base
10 Sep 22 01:51 UTC","Windows Workstations N-1
29 Mar 23 12:22 UTC","Monitor - TCB - Base
10 Sep 22 01:51 UTC",edc6d5311e2e432db6f26219e37bf951,10.177.130.114,192.168.1.206,192.168.1.254,70.241.111.211,tcbna.net,00-05-9a-3c-7a-00,20-c1-9b-c3-7e-0e,normal,526017,CZ5R3M3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-FYDVBK3,2023-05-02T17:21:59Z,2022-03-02T22:22:41Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:31 UTC","Full Response - Base
02 Mar 22 22:28 UTC","Windows Workstations N-1
29 Mar 23 10:18 UTC","Monitor - TCB - Base
15 Mar 23 04:40 UTC",c2907ba8d618444784577a7d2bfede36,10.132.248.131,10.132.248.131,10.132.248.1,63.98.103.65,tcbna.net,d4-54-8b-62-b7-72,d4-54-8b-62-b7-72,normal,526017,FYDVBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-BB1D9K3,2023-05-02T17:15:41Z,2021-12-30T17:12:54Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:28 UTC","Full Response - Base
30 Dec 21 17:14 UTC","Windows Workstations N-1
29 Mar 23 02:32 UTC","Monitor - TCB - Base
29 Mar 23 00:07 UTC",cbec778a24a440cf90cb129417b936f8,10.161.129.196,192.168.4.157,192.168.4.1,47.186.109.2,tcbna.net,00-05-9a-3c-7a-00,d4-54-8b-60-03-47,normal,526017,BB1D9K3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-3K5L3M3,2023-05-02T17:29:58Z,2022-05-14T02:09:25Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,HP,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:34 UTC","Full Response - Base
14 May 22 02:18 UTC","Windows Workstations N-1
29 Mar 23 14:21 UTC","Monitor - TCB - Base
14 May 22 02:29 UTC",f60c5b4636544d51a54ce661f8285164,10.10.130.53,10.10.130.53,192.168.1.254,63.98.103.76,tcbna.net,a0-29-19-e4-d9-4d,a0-29-19-e4-d9-4d,normal,526017,3K5L3M3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-FH98BK3,2023-05-02T17:31:29Z,2022-01-28T14:03:32Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:26 UTC","Full Response - Base
28 Jan 22 14:04 UTC","Windows Workstations N-1
29 Mar 23 12:05 UTC","Monitor - TCB - Base
13 Apr 23 14:35 UTC",9a4b732b94224efeaaed02ae12f895c9,10.132.140.63,10.132.140.63,10.132.140.1,63.98.103.65,tcbna.net,a0-29-19-c2-f1-73,a0-29-19-c2-f1-73,normal,526017,FH98BK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
3561-D1B7LG3,2023-05-02T17:22:31Z,2022-10-11T16:30:00Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Precision 3561,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:34 UTC","Full Response - Base
11 Oct 22 16:36 UTC","Windows Workstations N-1
29 Mar 23 02:04 UTC","Monitor - TCB - Base
29 Mar 23 07:33 UTC",bd720d90fdaa42449aed7c5482411aa7,10.128.89.47,10.128.89.47,10.128.89.1,71.42.187.130,tcbna.net,b4-45-06-2a-05-a1,b4-45-06-2a-05-a1,normal,526033,D1B7LG3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-3HQVBK3,2023-05-02T17:16:57Z,2022-02-07T16:07:02Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,"Omnibug, Workstations",RD,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:17 UTC","Full Response - Base
07 Feb 22 16:08 UTC","Windows Workstations N-1
29 Mar 23 01:52 UTC","Monitor - TCB - Base
10 Feb 22 17:44 UTC",4be9978b80804a48abd5d8e9a67e1cb3,10.161.130.113,10.161.130.113,192.168.2.1,63.98.103.64,tcbna.net,00-05-9a-3c-7a-00,00-05-9a-3c-7a-00,normal,526017,3HQVBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
3561-HY97LG3,2023-05-02T12:39:43Z,2022-04-12T21:43:26Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Precision 3561,Dell Inc.,Workstation,Laptop,"RJVPN, Workstations",DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:31 UTC","Full Response - Base
12 Apr 22 21:51 UTC","Windows Workstations N-1
29 Mar 23 13:07 UTC","Monitor - TCB - Base
13 Apr 23 17:06 UTC",e777d5852f0745c1ae5e3d27ea89e552,10.128.180.41,10.128.180.41,10.128.180.1,63.98.103.66,tcbna.net,b4-45-06-2a-02-40,b4-45-06-2a-02-40,normal,526033,HY97LG3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-HK8Q3M3,2023-05-02T17:00:43Z,2023-02-06T21:50:27Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:30 UTC","Full Response - Base
06 Feb 23 22:20 UTC","Windows Workstations N-1
29 Mar 23 14:27 UTC","Monitor - TCB - Base
06 Feb 23 22:16 UTC",f07ea200fd564e9da8444b6ec922931e,10.128.51.24,10.128.51.24,192.168.0.1,63.98.103.66,tcbna.net,a0-29-19-e8-a3-27,a0-29-19-e8-a3-27,normal,526017,HK8Q3M3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-70K2VQ3,2023-05-02T17:28:33Z,2022-12-17T05:57:46Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2846,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RD,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:29 UTC","Full Response - Base
17 Dec 22 06:04 UTC","Windows Workstations N-1
29 Mar 23 12:23 UTC","Monitor - TCB - Base
13 Apr 23 21:26 UTC",c243883d9b33471cb7298c47430f0165,10.161.129.214,10.161.129.214,10.10.82.1,63.98.103.64,tcbna.net,00-05-9a-3c-7a-00,00-05-9a-3c-7a-00,normal,526017,70K2VQ3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-1KQP3M3,2023-05-02T17:19:32Z,2022-03-24T20:55:54Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:27 UTC","Full Response - Base
22 Apr 22 13:08 UTC","Windows Workstations N-1
29 Mar 23 14:19 UTC","Monitor - TCB - Base
13 Apr 23 14:24 UTC",696bab6b4fd34f4bb9f5ec617fbd1961,10.132.244.156,10.132.244.156,10.132.244.1,63.98.103.65,tcbna.net,20-c1-9b-8f-c7-53,20-c1-9b-8f-c7-53,normal,526017,1KQP3M3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5430-7VTVPN3,2023-05-02T17:32:37Z,2022-10-26T02:39:00Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5430,Dell Inc.,Workstation,Laptop,Workstations,RD,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:27 UTC","Full Response - Base
26 Oct 22 02:47 UTC","Windows Workstations N-1
29 Mar 23 01:58 UTC","Monitor - TCB - Base
14 Apr 23 11:09 UTC",9c09713d95d845b0a0f39108ff006d5f,192.168.1.70,192.168.1.70,192.168.1.254,99.101.236.114,tcbna.net,8c-f8-c5-b4-86-a6,8c-f8-c5-b4-86-a6,normal,591524,7VTVPN3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-CTXD9K3,2023-05-02T17:22:32Z,2022-11-24T03:04:59Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RD,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:29 UTC","Full Response - Base
24 Nov 22 03:12 UTC","Windows Workstations N-1
29 Mar 23 01:47 UTC","Monitor - TCB - Base
13 Apr 23 10:06 UTC",bf0b57937fd8452391d1da98b0fa3e7e,10.177.130.38,192.168.1.142,192.168.1.1,72.190.9.109,tcbna.net,00-05-9a-3c-7a-00,f4-26-79-fd-94-f4,normal,526017,CTXD9K3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-9Q3C9K3,2023-05-02T17:14:11Z,2022-03-02T18:10:51Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"Beta Group Prevention Policy Custom IOA
11 Apr 23 14:46 UTC","Full Response - Base
08 Mar 22 19:38 UTC","Test Sensor Update Policy
29 Mar 23 13:26 UTC","Monitor - TCB - Base
08 Mar 22 19:37 UTC",e56384b8e4364635b0789b5e3ba69533,10.128.76.12,10.128.76.12,10.128.248.1,63.98.103.66,tcbna.net,a0-29-19-c3-ca-3b,a0-29-19-c3-ca-3b,normal,526017,9Q3C9K3,6.53.16705.0,,,,,,no,,,,,,,,,,,,,,"Beta Group,Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
3561-8D5FRG3,2023-05-02T17:22:45Z,2022-05-10T14:07:00Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2728,Precision 3561,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:21 UTC","Full Response - Base
10 May 22 14:08 UTC","Windows Workstations N-1
29 Mar 23 03:23 UTC","Monitor - TCB - Base
26 Apr 23 23:21 UTC",de208397023c4d7cba3a5a3aa74042cd,10.132.245.50,10.132.245.50,10.132.244.1,63.98.103.65,tcbna.net,70-a6-cc-fa-f9-8d,70-a6-cc-fa-f9-8d,normal,526033,8D5FRG3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-F4RN1J3,2023-05-02T17:26:36Z,2021-12-21T21:52:39Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RT,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:20 UTC","Full Response - Base
21 Dec 21 21:54 UTC","Windows Workstations N-1
29 Mar 23 13:34 UTC","Monitor - TCB - Base
21 Dec 21 22:07 UTC",508ff84a5f7d4356bbfe8f30ed2e0792,10.136.180.56,10.136.180.56,10.132.248.1,63.98.103.65,tcbna.net,a0-29-19-89-59-7e,a0-29-19-89-59-7e,normal,526017,F4RN1J3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-1RQVBK3,2023-05-02T17:23:47Z,2022-02-18T19:54:26Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:28 UTC","Full Response - Base
18 Feb 22 19:57 UTC","Windows Workstations N-1
29 Mar 23 13:54 UTC","Monitor - TCB - Base
29 Mar 23 00:19 UTC",92b7b1ba56f94889b98a754d7d7d6b7d,10.128.80.25,10.128.80.25,10.128.80.1,63.98.103.66,tcbna.net,a0-29-19-c4-fe-5c,a0-29-19-c4-fe-5c,normal,526017,1RQVBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-FK5VBK3,2023-05-02T17:36:02Z,2022-10-31T12:53:39Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:35 UTC","Full Response - Base
31 Oct 22 12:58 UTC","Windows Workstations N-1
30 Mar 23 12:26 UTC","Monitor - TCB - Base
31 Oct 22 12:58 UTC",227fba2ff09e4ac4ba762f1b33dc8891,10.132.162.28,10.132.162.28,10.132.162.1,63.98.103.65,tcbna.net,a0-29-19-c1-dd-75,a0-29-19-c1-dd-75,normal,526017,FK5VBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-GKJWBK3,2023-05-02T17:35:58Z,2023-04-20T04:15:31Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2846,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:35 UTC","Full Response - Base
20 Apr 23 04:22 UTC","Windows Workstations N-1
20 Apr 23 04:22 UTC","Monitor - TCB - Base
20 Apr 23 04:53 UTC",84382e8ad12a4f0796b0818ffe25137b,10.132.132.35,10.132.132.35,10.132.244.1,63.98.103.65,tcbna.net,38-14-28-d7-1f-70,38-14-28-d7-1f-70,normal,526017,GKJWBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-GWMWBK3,2023-05-02T17:14:25Z,2022-02-05T21:32:01Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:21 UTC","Full Response - Base
05 Feb 22 21:34 UTC","Windows Workstations N-1
29 Mar 23 02:39 UTC","Monitor - TCB - Base
29 Mar 23 00:19 UTC",5bc45c08af9d4fa8b7dd95ebed6b5bb8,10.161.130.136,10.161.130.136,192.168.1.1,172.223.113.240,tcbna.net,00-05-9a-3c-7a-00,00-05-9a-3c-7a-00,normal,526017,GWMWBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-GKPQ5D3,2023-05-02T17:36:37Z,2021-09-26T15:30:54Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:14 UTC","Full Response - Base
30 Nov 21 13:42 UTC","Windows Workstations N-1
29 Mar 23 12:21 UTC","Monitor - TCB - Base
13 Apr 23 15:52 UTC",02f92a5ffc2446e6a4fc79f568e8613e,10.132.172.26,10.132.172.26,10.132.244.1,63.98.103.65,tcbna.net,38-14-28-d4-f8-0c,38-14-28-d4-f8-0c,normal,526017,GKPQ5D3,6.52.16606.0,"FalconGroupingTags/DellTesting, FalconGroupingTags/DellTestingPrevent",,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-5KJWBK3,2023-05-02T17:20:05Z,2022-02-18T19:09:52Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,"RJVPN, Workstations",RD,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:20 UTC","Full Response - Base
18 Feb 22 19:11 UTC","Windows Workstations N-1
29 Mar 23 03:56 UTC","Monitor - TCB - Base
13 Apr 23 21:26 UTC",b0b051a3c1984a6b8227afc424e9f0d6,192.168.1.248,192.168.1.248,192.168.1.1,72.180.36.43,tcbna.net,d4-54-8b-5f-0f-00,d4-54-8b-5f-0f-00,normal,526017,5KJWBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-70KQ5D3,2023-05-02T17:33:07Z,2023-04-19T18:02:58Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2846,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RL,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:25 UTC","Full Response - Base
19 Apr 23 18:12 UTC","Windows Workstations N-1
19 Apr 23 18:08 UTC","Monitor - TCB - Base
19 Apr 23 18:12 UTC",f623d13302054999a01ca46bf3148501,10.132.110.14,10.132.110.14,10.132.110.1,63.98.103.65,tcbna.net,38-14-28-64-d9-9a,38-14-28-64-d9-9a,normal,526017,70KQ5D3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-BJSWBK3,2023-05-02T17:14:43Z,2022-01-24T20:57:35Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RD,"TCB - Workstation Prevent Dynamic 
01 May 23 12:41 UTC","Full Response - Base
24 Jan 22 20:59 UTC","Windows Workstations N-1
29 Mar 23 02:43 UTC","Monitor - TCB - Base
13 Apr 23 16:01 UTC",2ce51b385f474c8ebdd967f8e4784374,192.168.50.152,10.177.130.64,192.168.50.1,63.98.103.65,tcbna.net,d4-54-8b-61-f0-3f,00-05-9a-3c-7a-00,normal,526017,BJSWBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-9WSTBK3,2023-05-02T17:26:39Z,2022-11-30T21:41:43Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:34 UTC","Full Response - Base
30 Nov 22 21:50 UTC","Windows Workstations N-1
29 Mar 23 13:36 UTC","Monitor - TCB - Base
30 Nov 22 21:50 UTC",d85e0e52113e417fad28100697ec36b6,10.128.76.23,10.128.76.23,10.128.76.1,63.98.103.66,tcbna.net,a0-29-19-c6-9e-f3,a0-29-19-c6-9e-f3,normal,526017,9WSTBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
3561-FY97LG3,2023-05-02T17:37:46Z,2023-03-22T18:47:35Z,Windows,Windows 10,19045,Windows 10 Enterprise,10.0.19045.2728,Precision 3561,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:27 UTC","Full Response - Base
22 Mar 23 18:54 UTC","Windows Workstations N-1
29 Mar 23 19:42 UTC","Monitor - TCB - Base
22 Mar 23 18:55 UTC",e52b1a928d0a49d0b368e71b68a0c449,10.128.89.54,10.128.89.54,10.128.89.1,71.42.187.130,tcbna.net,b4-45-06-2a-06-61,b4-45-06-2a-06-61,normal,526033,FY97LG3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
3450-DK1D2N3,2023-05-02T17:30:35Z,2022-05-11T13:27:06Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2486,Precision 3450,Dell Inc.,Workstation,Desktop,IB_Tradefloor,DM,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:35 UTC","platform_default
07 Jun 22 20:16 UTC","Trade Floor Sensor Update Policy
18 Apr 23 12:02 UTC","platform_default
14 Apr 23 05:57 UTC",bcb1bbf88fc242aa93205f114a5d50a6,10.128.89.29,10.128.89.29,10.128.89.1,71.42.187.130,tcbna.net,b0-4f-13-16-66-c1,b0-4f-13-16-66-c1,normal,657009,DK1D2N3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Trade Floor Group,Windows Workstations - Detect - Dynamic,Workstations TCBNA.net"
5420-HSWWBK3,2023-05-02T17:15:15Z,2022-03-14T15:31:13Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,DM,"TCB - Workstation Prevent Dynamic 
01 May 23 12:09 UTC","Full Response - Base
14 Mar 22 15:37 UTC","Windows Workstations N-1
29 Mar 23 13:06 UTC","Monitor - TCB - Base
13 Apr 23 14:58 UTC",db59c458319b4bfcaf080bc25043d47f,10.128.80.46,10.128.80.46,10.128.80.1,63.98.103.66,tcbna.net,a0-29-19-c2-c3-81,a0-29-19-c2-c3-81,normal,526017,HSWWBK3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5420-4N5Q5D3,2023-05-02T17:26:10Z,2022-03-03T03:38:51Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5420,Dell Inc.,Workstation,Laptop,Workstations,RT,"TCB - Workstation Prevent Dynamic 
01 May 23 13:49 UTC","Full Response - Base
03 Mar 22 03:45 UTC","Windows Workstations N-1
29 Mar 23 02:34 UTC","Monitor - TCB - Base
03 Mar 22 03:59 UTC",54f1529c8ad64728a8b38caae1fac97c,10.177.130.59,10.177.130.59,192.168.1.254,172.0.8.171,tcbna.net,00-05-9a-3c-7a-00,00-05-9a-3c-7a-00,normal,526017,4N5Q5D3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
5430-GXTVPN3,2023-05-02T17:17:00Z,2022-11-02T01:06:23Z,Windows,Windows 10,19044,Windows 10 Enterprise,10.0.19044.2728,Latitude 5430,Dell Inc.,Workstation,Laptop,Workstations,RD,"TCB - Workstation Prevent Dynamic 
28 Apr 23 20:22 UTC","Full Response - Base
02 Nov 22 01:09 UTC","Windows Workstations N-1
29 Mar 23 14:25 UTC","Monitor - TCB - Base
13 Apr 23 13:06 UTC",9386018373484333aabe2c1074df7bdf,10.132.132.45,10.132.132.45,10.132.248.1,72.191.227.65,tcbna.net,08-92-04-7f-f5-24,08-92-04-7f-f5-24,normal,591524,GXTVPN3,6.52.16606.0,,,,,,no,,,,,,,,,,,,,,"Windows Workstations - Detect - Dynamic,Windows Workstations - Prevent - Dynamic,Workstations TCBNA.net"
